dataset,model,version,accuracy,precision,recall,f1_score,threshold,pos_weight,loss_name
SKAB,LSTM,baseline_0.5_threshold,0.7403351955307262,0.7476958525345622,0.40766331658291455,0.5276422764227642,0.5,1.7297077922077921,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.3557541899441341,0.3557541899441341,1.0,0.5248063293225647,0.38,1.7297077922077921,bce
SKAB,GRU,baseline_0.5_threshold,0.5470391061452514,0.4198895027624309,0.7160804020100503,0.5293707917343858,0.5,1.7297077922077921,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.38324022346368714,0.36580882352941174,1.0,0.5356662180349933,0.39,1.7297077922077921,bce
SKAB,CNN,baseline_0.5_threshold,0.7010055865921788,0.5743559718969555,0.6162060301507538,0.5945454545454546,0.5,1.7297077922077921,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.3557541899441341,0.3557541899441341,1.0,0.5248063293225647,0.36,1.7297077922077921,bce
SKAB,LSTM,baseline_0.5_threshold,0.6746826987307949,0.546480743691899,0.514053716427233,0.5297714837463792,0.5,1.7334334522245167,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.35649075929637053,0.35649075929637053,1.0,0.5256073539067629,0.1,1.7334334522245167,bce
SKAB,GRU,baseline_0.5_threshold,0.6628813181919394,0.5264759586122946,0.5402873204247346,0.533292231812577,0.5,1.7334334522245167,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.35649075929637053,0.35649075929637053,1.0,0.5256073539067629,0.1,1.7334334522245167,bce
SKAB,CNN,baseline_0.5_threshold,0.6121131151191271,0.4683998207082026,0.6527170518425984,0.5454070981210856,0.5,1.7334334522245167,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.35649075929637053,0.35649075929637053,1.0,0.5256073539067629,0.1,1.7334334522245167,bce
SKAB,LSTM,baseline_0.5_threshold,0.6326803205699021,0.5067064083457526,0.2049427365883062,0.2918454935622318,0.5,1.7622765564002465,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.3693232413178985,0.3693232413178985,1.0,0.5394244838237685,0.43,1.7622765564002465,bce
SKAB,GRU,baseline_0.5_threshold,0.6335707925200356,0.5091164095371669,0.21880650994575046,0.306070826306914,0.5,1.7622765564002465,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.3693232413178985,0.3693232413178985,1.0,0.5394244838237685,0.1,1.7622765564002465,bce
SKAB,CNN,baseline_0.5_threshold,0.6268922528940338,0.48984468339307047,0.24713682941531043,0.328525641025641,0.5,1.7622765564002465,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.3693232413178985,0.3693232413178985,1.0,0.5394244838237685,0.1,1.7622765564002465,bce
SKAB,LSTM,baseline_0.5_threshold,0.6253399818676337,0.5029103608847497,0.2605548854041013,0.3432657926102503,0.5,1.776272577996716,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.37579329102447867,0.37579329102447867,1.0,0.5462932454695223,0.1,1.776272577996716,bce
SKAB,GRU,baseline_0.5_threshold,0.5310516772438804,0.4143393080450188,0.5995174909529554,0.4900172541286665,0.5,1.776272577996716,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.46441523118767,0.40552130796033237,0.9125452352231604,0.5615141955835962,0.45,1.776272577996716,bce
SKAB,CNN,baseline_0.5_threshold,0.6162737987307344,0.4896265560165975,0.49819059107358266,0.4938714499252616,0.5,1.776272577996716,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.4696282864913871,0.405853119823302,0.8866103739445115,0.5568181818181818,0.41,1.776272577996716,bce
SKAB,LSTM,baseline_0.5_threshold,0.5672630881378397,0.3079507278835386,0.17017326732673269,0.21921084097249902,0.5,1.773576512455516,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.36956041528606143,0.3311511183851609,0.7512376237623762,0.45967436577054144,0.1,1.773576512455516,bce
SKAB,GRU,baseline_0.5_threshold,0.607687210072896,0.37381703470031546,0.14665841584158415,0.21066666666666667,0.5,1.773576512455516,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.4808924232383477,0.3469557964970809,0.5148514851485149,0.4145490782262083,0.12,1.773576512455516,bce
SKAB,CNN,baseline_0.5_threshold,0.6381709741550696,0.45703125,0.0724009900990099,0.125,0.5,1.773576512455516,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.34857521537442016,0.30984308131241084,0.6720297029702971,0.4241359109548916,0.33,1.773576512455516,bce
SKAB,LSTM,baseline_0.5_threshold,0.5572161498996208,0.40010272213662046,0.4880952380952381,0.4397403330510867,0.5,1.7777321281840592,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.41267008699531565,0.3448069440287339,0.7218045112781954,0.466680170143812,0.46,1.7777321281840592,bce
SKAB,GRU,baseline_0.5_threshold,0.4833816640642427,0.34549356223175964,0.5043859649122807,0.41008660213958226,0.5,1.7777321281840592,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.37720276600490743,0.34860759493670884,0.8627819548872181,0.49657410746483954,0.33,1.7777321281840592,bce
SKAB,CNN,baseline_0.5_threshold,0.5717153691724292,0.40929451287793955,0.45802005012531327,0.43228858663512715,0.5,1.7777321281840592,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.4256078518848985,0.3628467357803306,0.8114035087719298,0.5014520813165537,0.41,1.7777321281840592,bce
SKAB,LSTM,baseline_0.5_threshold,0.7077472650145121,0.5915492957746479,0.5793103448275863,0.5853658536585366,0.5,1.7619859768808035,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.430453226166555,0.3556763285024155,0.7385579937304075,0.48013042592215205,0.43,1.7619859768808035,bce
SKAB,GRU,baseline_0.5_threshold,0.6559499888367939,0.5129310344827587,0.671473354231975,0.5815910942166712,0.5,1.7619859768808035,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.43179281089528915,0.3565821256038647,0.7404388714733542,0.48135316894232727,0.4,1.7619859768808035,bce
SKAB,CNN,baseline_0.5_threshold,0.6700156284885019,0.5295603840323395,0.6570532915360502,0.5864577504196978,0.5,1.7619859768808035,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.3561062737218129,0.3561062737218129,1.0,0.5251893315772144,0.1,1.7619859768808035,bce
SKAB,LSTM,baseline_0.5_threshold,0.6248886910062333,0.4788961038961039,0.17781796262808922,0.25934065934065936,0.5,1.792507204610951,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.4795191451469279,0.3778337531486146,0.6329113924050633,0.47318611987381703,0.45,1.792507204610951,bce
SKAB,GRU,baseline_0.5_threshold,0.6295636687444346,0.4959083469721768,0.18264014466546113,0.2669603524229075,0.5,1.792507204610951,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.43722172751558325,0.3704145541306293,0.7486437613019892,0.49561053471668,0.34,1.792507204610951,bce
SKAB,CNN,baseline_0.5_threshold,0.622439893143366,0.4764930114358323,0.22603978300180833,0.30662305805396567,0.5,1.792507204610951,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.5483081032947462,0.4111431316042267,0.5159734779987944,0.45763164929163325,0.46,1.792507204610951,bce
SKAB,LSTM,baseline_0.5_threshold,0.6769091730682332,0.5884123401053424,0.46966966966966966,0.5223780895123581,0.5,1.7773895169578622,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.3761861726163579,0.3761861726163579,1.0,0.5467082580857002,0.1,1.7773895169578622,bce
SKAB,GRU,baseline_0.5_threshold,0.666516041572526,0.5555555555555556,0.5675675675675675,0.5614973262032086,0.5,1.7773895169578622,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.3761861726163579,0.3761861726163579,1.0,0.5467082580857002,0.1,1.7773895169578622,bce
SKAB,CNN,baseline_0.5_threshold,0.6470854044283778,0.5357887421820708,0.46306306306306305,0.49677835051546393,0.5,1.7773895169578622,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.47424310890194304,0.41024945770065074,0.9087087087087087,0.5652904913132822,0.39,1.7773895169578622,bce
SKAB,LSTM,baseline_0.5_threshold,0.6440115120655302,0.5073891625615764,0.06393544382371198,0.11356119073869901,0.5,1.7297846403900854,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.6108036307283595,0.4061302681992337,0.1973929236499069,0.2656641604010025,0.44,1.7297846403900854,bce
SKAB,GRU,baseline_0.5_threshold,0.6426831968120434,0.48760330578512395,0.03662321539416512,0.06812933025404157,0.5,1.7297846403900854,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.48461368164711094,0.32101847229156266,0.399130974549969,0.3558384061981184,0.45,1.7297846403900854,bce
SKAB,CNN,baseline_0.5_threshold,0.6455612131945981,0.5581395348837209,0.0297951582867784,0.05657041838538598,0.5,1.7297846403900854,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.6455612131945981,0.5247524752475248,0.06579764121663563,0.11693325979040264,0.47,1.7297846403900854,bce
SKAB,LSTM,baseline_0.5_threshold,0.6010721465266919,0.455011655011655,0.6126804770872567,0.5222043873729267,0.5,1.7105315947843531,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.43265579629215994,0.37954718901042994,0.9365976145637163,0.5401882693700217,0.42,1.7105315947843531,bce
SKAB,GRU,baseline_0.5_threshold,0.5921375921375921,0.44759334233018444,0.6246076585059636,0.5214884696016772,0.5,1.7105315947843531,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.7107438016528925,0.6400375939849624,0.4274952919020716,0.5126082047421905,0.7,1.7105315947843531,bce
SKAB,CNN,baseline_0.5_threshold,0.5756086665177574,0.43553128937421254,0.6509730069052103,0.5218922999496729,0.5,1.7105315947843531,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.45387536296627207,0.38813025210084034,0.9278091650973007,0.547306054434364,0.4,1.7105315947843531,bce
SKAB,LSTM,baseline_0.5_threshold,0.6734420370784007,0.5688935281837161,0.34190715181932246,0.427115987460815,0.5,1.7778461538461539,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.3560419924056288,0.3560419924056288,1.0,0.5251194201943666,0.1,1.7778461538461539,bce
SKAB,GRU,baseline_0.5_threshold,0.4909537636810364,0.33381853469189715,0.4316185696361355,0.3764705882352941,0.5,1.7778461538461539,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.4179137815501452,0.34266169154228854,0.6913425345043914,0.45821205821205824,0.41,1.7778461538461539,bce
SKAB,CNN,baseline_0.5_threshold,0.623631896359169,0.4730290456431535,0.5006273525721455,0.4864370618713807,0.5,1.7778461538461539,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.4820192092919366,0.407075108946424,0.9962358845671268,0.5779799818016379,0.41,1.7778461538461539,bce
SKAB,LSTM,baseline_0.5_threshold,0.6313446126447017,0.5029126213592233,0.15611814345991562,0.23827046918123276,0.5,1.781633435582822,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.3693232413178985,0.3693232413178985,1.0,0.5394244838237685,0.1,1.781633435582822,bce
SKAB,GRU,baseline_0.5_threshold,0.6371326803205699,0.5205673758865248,0.2212176009644364,0.31049069373942473,0.5,1.781633435582822,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.3693232413178985,0.3693232413178985,1.0,0.5394244838237685,0.1,1.781633435582822,bce
SKAB,CNN,baseline_0.5_threshold,0.6175422974176313,0.4673311184939092,0.2543701024713683,0.3294301327088212,0.5,1.781633435582822,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.3693232413178985,0.3693232413178985,1.0,0.5394244838237685,0.1,1.781633435582822,bce
SKAB,LSTM,baseline_0.5_threshold,0.6263537906137184,0.5050761421319797,0.3579136690647482,0.4189473684210526,0.5,1.8002499479275151,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.37635379061371843,0.37635379061371843,1.0,0.5468852459016393,0.1,1.8002499479275151,bce
SKAB,GRU,baseline_0.5_threshold,0.6313176895306859,0.5189309576837416,0.2793764988009592,0.36321122369446607,0.5,1.8002499479275151,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.37635379061371843,0.37635379061371843,1.0,0.5468852459016393,0.35,1.8002499479275151,bce
SKAB,CNN,baseline_0.5_threshold,0.5701714801444043,0.44867908185361627,0.6211031175059952,0.5209957254211718,0.5,1.8002499479275151,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.37635379061371843,0.37635379061371843,1.0,0.5468852459016393,0.35,1.8002499479275151,bce
SKAB,LSTM,baseline_0.5_threshold,0.6899756583314892,0.631055900621118,0.315136476426799,0.42035581299131153,0.5,1.7417124262761847,bce
