dataset,model,family,split,seed,training_time_seconds,inference_time_seconds,test_examples,epochs_completed,pos_weight,loss_name
SKAB,LSTM,DEEP,fold_0,42,19.192826700018486,0.10222760000033304,4475,13,1.7297077922077921,bce
SKAB,GRU,DEEP,fold_0,42,15.212971799977822,0.10149900001124479,4475,12,1.7297077922077921,bce
SKAB,CNN,DEEP,fold_0,42,11.401791500014951,0.090231699985452,4475,10,1.7297077922077921,bce
SKAB,LSTM,DEEP,fold_1,42,8.101769700006116,0.1036063999927137,4491,6,1.7334334522245167,bce
SKAB,GRU,DEEP,fold_1,42,6.710339000012027,0.11182369999005459,4491,6,1.7334334522245167,bce
SKAB,CNN,DEEP,fold_1,42,4.994140099996002,0.08650969999143854,4491,6,1.7334334522245167,bce
SKAB,LSTM,DEEP,fold_2,42,7.01456280000275,0.1565402999985963,4492,6,1.7622765564002465,bce
SKAB,GRU,DEEP,fold_2,42,6.426705199992284,0.11242669998318888,4492,6,1.7622765564002465,bce
SKAB,CNN,DEEP,fold_2,42,5.1585613999923225,0.08418920001713559,4492,6,1.7622765564002465,bce
SKAB,LSTM,DEEP,fold_3,42,7.072373700008029,0.11886789998970926,4412,6,1.776272577996716,bce
SKAB,GRU,DEEP,fold_3,42,6.607824000006076,0.10627369998837821,4412,6,1.776272577996716,bce
SKAB,CNN,DEEP,fold_3,42,18.1607834000024,0.08352529999683611,4412,23,1.776272577996716,bce
SKAB,LSTM,DEEP,fold_4,42,10.977246800001012,0.12206689998856746,4527,10,1.773576512455516,bce
SKAB,GRU,DEEP,fold_4,42,9.32042899998487,0.11215749999973923,4527,9,1.773576512455516,bce
SKAB,CNN,DEEP,fold_4,42,4.771259300003294,0.09294890001183376,4527,6,1.773576512455516,bce
SKAB,LSTM,DEEP,fold_0,123,13.278542500018375,0.11184249998768792,4483,11,1.7777321281840592,bce
SKAB,GRU,DEEP,fold_0,123,11.937319499993464,0.12277750001521781,4483,11,1.7777321281840592,bce
SKAB,CNN,DEEP,fold_0,123,17.49755830000504,0.0919020000146702,4483,22,1.7777321281840592,bce
SKAB,LSTM,DEEP,fold_1,123,7.150805699988268,0.10903220000909641,4479,6,1.7619859768808035,bce
SKAB,GRU,DEEP,fold_1,123,6.574639500002377,0.1127973000111524,4479,6,1.7619859768808035,bce
SKAB,CNN,DEEP,fold_1,123,5.158621600014158,0.0824344000138808,4479,6,1.7619859768808035,bce
SKAB,LSTM,DEEP,fold_2,123,12.09027730001253,0.11530369997490197,4492,10,1.792507204610951,bce
SKAB,GRU,DEEP,fold_2,123,12.10031040001195,0.10437529999762774,4492,11,1.792507204610951,bce
SKAB,CNN,DEEP,fold_2,123,6.519118900003377,0.11518120000255294,4492,8,1.792507204610951,bce
SKAB,LSTM,DEEP,fold_3,123,6.97628890001215,0.11678599999868311,4426,6,1.7773895169578622,bce
SKAB,GRU,DEEP,fold_3,123,6.46070100000361,0.11160730000119656,4426,6,1.7773895169578622,bce
SKAB,CNN,DEEP,fold_3,123,26.807835800020257,0.08716319999075495,4426,32,1.7773895169578622,bce
SKAB,LSTM,DEEP,fold_4,123,12.915721099998336,0.10784109999076463,4517,11,1.7297846403900854,bce
SKAB,GRU,DEEP,fold_4,123,8.591838400025154,0.13908200000878423,4517,8,1.7297846403900854,bce
SKAB,CNN,DEEP,fold_4,123,18.956988199992338,0.0869925000006333,4517,24,1.7297846403900854,bce
SKAB,LSTM,DEEP,fold_0,2026,7.176062900020042,0.14103920001070946,4477,6,1.7105315947843531,bce
SKAB,GRU,DEEP,fold_0,2026,7.980187199980719,0.14895959998830222,4477,7,1.7105315947843531,bce
SKAB,CNN,DEEP,fold_0,2026,17.60009930000524,0.11770360000082292,4477,22,1.7105315947843531,bce
SKAB,LSTM,DEEP,fold_1,2026,18.000427199993283,0.11176220001652837,4477,16,1.7778461538461539,bce
