dataset,model,family,split,training_time_seconds_mean,training_time_seconds_std,training_time_seconds_min,training_time_seconds_max,inference_time_seconds_mean,inference_time_seconds_std,inference_time_seconds_min,inference_time_seconds_max,test_examples_mean,test_examples_std,test_examples_min,test_examples_max
BATADAL,AUTOMATA,AUTOMATA,test,0.5297211600009177,0.011981214003098284,0.511592800001381,0.5423119999977644,0.004591940001409967,0.00017771908471370023,0.004388100001960993,0.004833400002098642,206.0,0.0,206,206
SKAB,AUTOMATA,AUTOMATA,fold_0,26.361509340001067,0.3235545612662661,25.789854900001956,26.571321700001135,0.007561780000833096,0.0005951480248370957,0.00676240000029793,0.008347999999386957,1121.4,1.341640786499857,1120,1123
SKAB,AUTOMATA,AUTOMATA,fold_1,25.790918660000898,0.3075063340008993,25.528474100003223,26.277754599999753,0.007318880000093486,0.0006241939541901874,0.006861399997433182,0.008416900000156602,1121.6,1.8165902124584903,1120,1124
SKAB,AUTOMATA,AUTOMATA,fold_2,25.91893452000004,0.42315812305486283,25.362476300000708,26.502690600002097,0.006930840000131866,0.00023682328487295717,0.006635899997490924,0.0071809000000939704,1124.0,0.0,1124,1124
SKAB,AUTOMATA,AUTOMATA,fold_3,26.244300019999354,0.20544090333233733,26.006396500000847,26.510479399999895,0.007184479999705218,0.00042268162633530995,0.006609399999433663,0.007560500002000481,1106.2,2.167948338867884,1104,1109
SKAB,AUTOMATA,AUTOMATA,fold_4,26.007674119999866,0.23950145151185406,25.633480799999234,26.22452460000204,0.013577000000077532,0.008042922630306057,0.007283499999175547,0.02261240000007092,1131.6,1.3416407864998834,1130,1133
