metric,model_a,model_b,test,alternative,n_pairs,statistic,p_value,mean_difference,median_difference
accuracy,LSTM,CNN,wilcoxon,two-sided,30,174.0,0.9696091457542945,-0.007817116467096987,0.00022266755733688082
accuracy,LSTM,GRU,wilcoxon,two-sided,30,113.0,0.04042027126874376,-0.026149184564638238,-0.008190686842839079
precision,LSTM,CNN,wilcoxon,two-sided,30,127.0,0.2180230945147802,-0.006408774738886597,-0.0009365748617395642
precision,LSTM,GRU,wilcoxon,two-sided,30,111.0,0.03617357470586523,-0.012501544136073319,-0.003008187637250609
recall,LSTM,CNN,wilcoxon,two-sided,30,136.0,0.6891565167793516,-0.013820945917633469,0.0
recall,LSTM,GRU,wilcoxon,two-sided,30,136.0,0.6891565167793516,0.015323879406993646,0.0
f1_score,LSTM,CNN,wilcoxon,two-sided,30,175.0,0.98986794535872,0.007391531401743701,0.0
f1_score,LSTM,GRU,wilcoxon,two-sided,30,148.0,0.21041384431760835,-0.010956262073391074,-0.0030300100881455877
