model,best_threshold_mean,best_threshold_std,best_threshold_min,best_threshold_max,best_val_precision_mean,best_val_precision_std,best_val_precision_min,best_val_precision_max,best_val_recall_mean,best_val_recall_std,best_val_recall_min,best_val_recall_max,best_val_f1_mean,best_val_f1_std,best_val_f1_min,best_val_f1_max,best_score_mean,best_score_std,best_score_min,best_score_max
GRU,0.374,0.15993748778819805,0.14,0.51,0.183040993153669,0.014690443647318757,0.1645021645021645,0.1951219512195122,0.6423076923076924,0.07398224639104362,0.5769230769230769,0.7307692307692307,0.2834476436089587,0.01163022898701123,0.2685512367491166,0.2962962962962963,0.4244985404516893,0.010921194349146917,0.412087912087912,0.4342723004694835
LSTM,0.47000000000000003,0.09974968671630002,0.35,0.6,0.18580171064045142,0.04459435368217305,0.1400966183574879,0.2358490566037736,0.6384615384615385,0.14733831776444575,0.4807692307692308,0.8461538461538461,0.2808083662628763,0.04376055056381391,0.2239382239382239,0.3260869565217391,0.41469928049377414,0.04189775470957145,0.3493975903614458,0.4534606205250596
CNN,0.504,0.01341640786499876,0.49,0.52,0.13899732448824623,0.017106381869280218,0.1164383561643835,0.1549295774647887,0.5307692307692308,0.0833826284179954,0.4230769230769231,0.6538461538461539,0.21827006186825243,0.01700710289550971,0.1976744186046511,0.2393162393162393,0.3346063399942757,0.01671408476932846,0.3142857142857143,0.358974358974359
