dataset,model,family,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,anomaly_rate_mean,anomaly_rate_std,anomaly_rate_min,anomaly_rate_max,true_anomaly_rate_mean,true_anomaly_rate_std,true_anomaly_rate_min,true_anomaly_rate_max,unseen_examples_mean,unseen_examples_std,unseen_examples_min,unseen_examples_max
BATADAL,AUTOMATA,AUTOMATA,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.2222222222222222,0.2222222222222222,0.22222222222222224,0.0,0.2222222222222222,0.2222222222222222,9.0,0.0,9,9
BATADAL,CNN,DEEP,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.2222222222222222,0.2222222222222222,9.0,0.0,9,9
BATADAL,GRU,DEEP,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.2222222222222222,0.2222222222222222,9.0,0.0,9,9
BATADAL,LSTM,DEEP,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.2222222222222222,0.2222222222222222,9.0,0.0,9,9
SKAB,AUTOMATA,AUTOMATA,0.3737914649043326,0.4383188179759291,0.0,1.0,0.09384783996962323,0.18622654733846605,0.0,0.5714285714285714,0.2222222222222222,0.42779263194649864,0.0,1.0,0.13066924561177434,0.2552391926625501,0.0,0.7272727272727273,0.7185929648241206,0.45882516335452217,0.0,1.0,0.09238442972845322,0.18373926384084366,0.0,0.5714285714285714,14.88,42.40805741051261,0,199
SKAB,CNN,DEEP,0.9076155702715467,0.18373926384084366,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09238442972845322,0.18373926384084366,0.0,0.5714285714285714,14.88,42.40805741051261,0,199
SKAB,GRU,DEEP,0.9076155702715467,0.18373926384084366,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09238442972845322,0.18373926384084366,0.0,0.5714285714285714,14.88,42.40805741051261,0,199
SKAB,LSTM,DEEP,0.9076155702715467,0.18373926384084366,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09238442972845322,0.18373926384084366,0.0,0.5714285714285714,14.88,42.40805741051261,0,199
