dataset,model,split,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max
BATADAL,AUTOMATA,test,0.558252427184466,0.0,0.558252427184466,0.558252427184466,0.1941747572815534,0.0,0.1941747572815534,0.1941747572815534,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.3053435114503817,0.0,0.3053435114503817,0.3053435114503817
BATADAL,CNN,test,0.6545676004872106,0.08270303286289993,0.5200974421437271,0.7381242387332522,0.12469798377691739,0.022213545594666224,0.09659090909090909,0.152317880794702,0.24727272727272726,0.038246698123568415,0.20909090909090908,0.3090909090909091,0.16302242150398763,0.014752491088887659,0.1471861471861472,0.1794871794871795
BATADAL,GRU,test,0.6119366626065774,0.0925243492616169,0.51278928136419,0.7271619975639464,0.13468850787598954,0.021039301038200137,0.10810810810810811,0.16071428571428573,0.3327272727272727,0.07175486276607679,0.24545454545454545,0.43636363636363634,0.18802630125906056,0.014728798528728843,0.16666666666666666,0.2006079027355623
BATADAL,LSTM,test,0.5941534713763703,0.08648590670687546,0.47868453105968334,0.6894031668696712,0.07823457907956388,0.02165883483293393,0.059574468085106386,0.10810810810810811,0.1890909090909091,0.08752803565026115,0.11818181818181818,0.33636363636363636,0.10856413935886611,0.030782252718133347,0.08115942028985507,0.14741035856573706
SKAB,AUTOMATA,fold_0,0.3565183459443844,0.0003387210732968179,0.35625,0.3570792520035619,0.3559440129526118,0.0003396415514315026,0.355674709562109,0.35650623885918004,1.0,0.0,1.0,1.0,0.5250127724596492,0.00036937806785421315,0.5247198417930126,0.5256241787122208
SKAB,AUTOMATA,fold_1,0.5274276171345186,0.11301649037119743,0.38893844781445136,0.6446428571428572,0.2358654339401441,0.2158853328171066,0.0,0.4063136456211813,0.598997487437186,0.5468083502387846,0.0,1.0,0.3383029067886807,0.3092487133449957,0.0,0.5774240231548481
SKAB,AUTOMATA,fold_2,0.4750889679715303,0.0,0.4750889679715303,0.4750889679715303,0.40638297872340423,0.0,0.40638297872340423,0.40638297872340423,0.9227053140096618,0.0,0.9227053140096618,0.9227053140096618,0.5642540620384048,0.0,0.5642540620384048,0.5642540620384048
SKAB,AUTOMATA,fold_3,0.40295751718398554,0.056305706004557546,0.3764705882352941,0.5036101083032491,0.3874997985705825,0.02424202556832592,0.3759057971014493,0.4308176100628931,0.9966507177033492,0.007489222891147646,0.9832535885167464,1.0,0.5575997852323471,0.02324438373345618,0.5464121132323897,0.5991253644314869
SKAB,AUTOMATA,fold_4,0.3571930689415602,0.00033534241661387163,0.3566371681415929,0.3574580759046778,0.3566245142440271,0.00033624526244857214,0.35606731620903453,0.3568904593639576,1.0,0.0,1.0,1.0,0.5257526476093332,0.0003654792494104023,0.5251469627694317,0.5260416666666666
SKAB,CNN,fold_0,0.8508381798306879,0.0526377219715725,0.7667188548423172,0.8957165283695896,0.7901790487745999,0.1030588651519397,0.637616718541574,0.9042119565217391,0.8394090087897903,0.023102290542142124,0.8032589016294508,0.8628158844765343,0.8102414227181318,0.04994731639770029,0.7333162873945283,0.8586196412283369
SKAB,CNN,fold_1,0.8846506982167572,0.04541074652519218,0.8356072467009618,0.9266980497646268,0.8353396936184371,0.09138928927850001,0.7281219272369714,0.9487525286581254,0.8715203667129883,0.038944060381299245,0.8252252252252252,0.9264173703256936,0.8507440388809991,0.05199862813000265,0.788975021533161,0.896410854975197
SKAB,CNN,fold_2,0.8285522788203753,0.02149108012993572,0.7933422698838248,0.8498659517426274,0.9989615784008308,0.0023219812850465396,0.9948078920041536,1.0,0.555194428322693,0.05582488543677733,0.4631456761462565,0.6099825885084156,0.7123516507638767,0.047695687943050145,0.6330821102737009,0.7577505407354002
SKAB,CNN,fold_3,0.911649147616993,0.021717637312475713,0.8754528985507246,0.9294813466787989,0.9613767127303035,0.05036200112041134,0.8798200514138818,1.0,0.8090612987933079,0.03415281113526896,0.7738577212261423,0.8624492164828786,0.8778376331979307,0.02847970571493046,0.8327250608272506,0.9030689759951382
SKAB,CNN,fold_4,0.9231288925960015,0.006630851228072744,0.9156118143459916,0.9334073251942286,0.9960695532264643,0.006360492822416969,0.9853801169590644,1.0,0.7967329747847746,0.0195780434836051,0.7732696897374701,0.8252832438878951,0.8851820396519526,0.011141717789353708,0.8721399730820996,0.9022164276401564
SKAB,GRU,fold_0,0.8732121650780045,0.03072170918734723,0.8264370386938045,0.9107823357991481,0.8306168340028138,0.08301237317610118,0.7253306205493387,0.9480427046263346,0.8406198623800766,0.03039802510935948,0.803862401931201,0.8674698795180723,0.8327154681082366,0.030333113346060623,0.7861080485115767,0.8700195950359242
SKAB,GRU,fold_1,0.8952030178060874,0.024478492213872594,0.867801926954963,0.9212704093044062,0.8660844496281964,0.08971284308860956,0.7773741567202906,0.9954648526077098,0.864834049696675,0.05928624138344275,0.7919422730006013,0.9161640530759951,0.8607557444408254,0.024927053333721153,0.8354712771890686,0.8916935720575286
SKAB,GRU,fold_2,0.8203306523681858,0.017978492888285822,0.7971403038427167,0.8369079535299374,0.9899168415465278,0.013815899681013615,0.974088291746641,1.0,0.5388276262333139,0.04678225830213761,0.4852002321532211,0.5890887986070806,0.6968318626206857,0.039489708077389676,0.648062015503876,0.7341772151898734
SKAB,GRU,fold_3,0.9244450324560093,0.0161185370577456,0.9058956916099773,0.9440654843110505,0.9809873925994793,0.01683384146895443,0.9582806573957017,0.9979770734996628,0.8235774722714527,0.04414417970271786,0.7831116252168884,0.8803716608594657,0.8947592050070412,0.024668706094332787,0.867114953570285,0.9232688708671242
SKAB,GRU,fold_4,0.9277450038346021,0.01102521911995702,0.9136131467910282,0.9402885682574916,0.9966258699304056,0.004992627407279941,0.9888888888888889,1.0,0.8087773158200988,0.032903162821457645,0.7678997613365155,0.8491353607632678,0.8925739905194832,0.018537767235729228,0.8687141410732366,0.9136990696182227
SKAB,LSTM,fold_0,0.8685529658090069,0.028195563595572785,0.8239767389845672,0.8908316520959426,0.8161233416752761,0.061086222332979,0.7249357326478149,0.868505452212957,0.8413499375958644,0.016093429007865794,0.8156626506024096,0.8542168674698796,0.8272647954658596,0.02880969900313668,0.7818131411144996,0.8530033202535466
SKAB,LSTM,fold_1,0.9018989358691849,0.020547284818303202,0.8741899441340782,0.9269549630293524,0.8754832373738701,0.030368309942168402,0.8512048192771084,0.9253350350989151,0.8587734526526178,0.03978181051818259,0.7987987987987988,0.9083232810615199,0.8666707002254872,0.029082586368580025,0.8253180266832144,0.8989460632362059
SKAB,LSTM,fold_2,0.814253798033959,0.03317133907640441,0.7716711349419124,0.8453976764968723,0.9736694041348904,0.04335592557197817,0.8978723404255319,1.0,0.5347649448636099,0.09770675865877457,0.4097504352872896,0.612304120719675,0.6846880842570119,0.07940936378574125,0.580115036976171,0.7487291212781408
