dataset,model,split,decision_score_field,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,path_probability_mean,path_probability_std,path_probability_min,path_probability_max,average_log_probability_mean,average_log_probability_std,average_log_probability_min,average_log_probability_max,test_examples_mean,test_examples_std,test_examples_min,test_examples_max,seen_examples_mean,seen_examples_std,seen_examples_min,seen_examples_max,unseen_examples_mean,unseen_examples_std,unseen_examples_min,unseen_examples_max
BATADAL,AUTOMATA,test,average_log_probability,0.558252427184466,0.0,0.558252427184466,0.558252427184466,0.1941747572815534,0.0,0.1941747572815534,0.1941747572815534,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.3053435114503817,0.0,0.3053435114503817,0.3053435114503817,9.197687270568676e-222,0.0,9.197687270568676e-222,9.197687270568676e-222,-2.4827070174432175,0.0,-2.4827070174432175,-2.4827070174432175,206.0,0.0,206,206,197.0,0.0,197,197,9.0,0.0,9,9
SKAB,AUTOMATA,fold_0,average_log_probability,0.3565183459443844,0.0003387210732968179,0.35625,0.3570792520035619,0.3559440129526118,0.0003396415514315026,0.355674709562109,0.35650623885918004,1.0,0.0,1.0,1.0,0.5250127724596492,0.00036937806785421315,0.5247198417930126,0.5256241787122208,2.0235949984350444e-149,4.5248911975745595e-149,1.013508227719821e-193,1.0117966445286056e-148,-0.352044004709682,0.04000637046407739,-0.39712735044044195,-0.3039882838149706,1121.4,1.341640786499857,1120,1123,1117.6,1.949358868961792,1115,1120,3.8,2.949576240750525,0,8
SKAB,AUTOMATA,fold_1,average_log_probability,0.5274276171345186,0.11301649037119743,0.38893844781445136,0.6446428571428572,0.2358654339401441,0.2158853328171066,0.0,0.4063136456211813,0.598997487437186,0.5468083502387846,0.0,1.0,0.3383029067886807,0.3092487133449957,0.0,0.5774240231548481,1.4912656020942522e-114,3.334571258789892e-114,7.047531661663415e-131,7.456328010471245e-114,-0.2586518947163928,0.014910443376659694,-0.2671623271324651,-0.23216188728349765,1121.6,1.8165902124584903,1120,1124,1120.8,2.7748873851023146,1118,1124,0.8,1.0954451150103324,0,2
SKAB,AUTOMATA,fold_2,average_log_probability,0.4750889679715303,0.0,0.4750889679715303,0.4750889679715303,0.40638297872340423,0.0,0.40638297872340423,0.40638297872340423,0.9227053140096618,0.0,0.9227053140096618,0.9227053140096618,0.5642540620384048,0.0,0.5642540620384048,0.5642540620384048,1.060238736386779e-144,0.0,1.060238736386779e-144,1.060238736386779e-144,-0.295203703726956,0.0,-0.295203703726956,-0.295203703726956,1124.0,0.0,1124,1124,1124.0,0.0,1124,1124,0.0,0.0,0,0
SKAB,AUTOMATA,fold_3,average_log_probability,0.40295751718398554,0.056305706004557546,0.3764705882352941,0.5036101083032491,0.3874997985705825,0.02424202556832592,0.3759057971014493,0.4308176100628931,0.9966507177033492,0.007489222891147646,0.9832535885167464,1.0,0.5575997852323471,0.02324438373345618,0.5464121132323897,0.5991253644314869,3.26243646575577e-147,7.295029709704067e-147,2.3157707578683953e-215,1.631218232877885e-146,-0.3862395918684841,0.05328949015401896,-0.44765946777249427,-0.30296759608243207,1106.2,2.167948338867884,1104,1109,1104.0,2.9154759474226504,1102,1109,2.2,1.4832396974191326,0,4
SKAB,AUTOMATA,fold_4,average_log_probability,0.3571930689415602,0.00033534241661387163,0.3566371681415929,0.3574580759046778,0.3566245142440271,0.00033624526244857214,0.35606731620903453,0.3568904593639576,1.0,0.0,1.0,1.0,0.5257526476093332,0.0003654792494104023,0.5251469627694317,0.5260416666666666,5.612140591935587e-243,0.0,0.0,2.8060701504950994e-242,-0.8454575912972494,0.4392467826477367,-1.3253366996725193,-0.4922069093124006,1131.6,1.3416407864998834,1130,1133,1089.2,52.23696009531949,1032,1129,42.4,53.51915544924079,2,101
