dataset,model,accuracy_mean,precision_mean,recall_mean,f1_score_mean
BATADAL,AUTOMATA,0.558252427184466,0.1941747572815534,0.7142857142857143,0.3053435114503817
BATADAL,GRU,0.7293544457978076,0.1529593447401068,0.2145454545454545,0.1765967084290903
BATADAL,LSTM,0.6913520097442143,0.1104860022879065,0.1745454545454545,0.1296837644158005
BATADAL,CNN,0.6638246041412911,0.0570966070149927,0.109090909090909,0.0737489571637857
SKAB,AUTOMATA,0.42383710343519576,0.34846334768615395,0.9036707038300393,0.502184434825683
SKAB,GRU,0.4274049444838906,0.3669276368581374,0.804110090611176,0.49794758180914417
SKAB,CNN,0.41851243109814434,0.3787888611265361,0.8601747900916376,0.4964997798920433
SKAB,LSTM,0.4036264102170433,0.36042045238528947,0.8304987458995683,0.49418265612373286
