source_dataset,target_dataset,family,model,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,test_examples_mean,test_examples_std,test_examples_min,test_examples_max
BATADAL,SKAB,AUTOMATA,AUTOMATA,0.36803661511238,0.011920283010380327,0.3544395924308588,0.38095238095238093,0.3673024127706111,0.01182730724396959,0.35396941005098326,0.38038496791934007,1.0,0.0,1.0,1.0,0.5371781185004811,0.012670790648144395,0.5228617536309844,0.5511288180610889,1053.0,219.7635092548351,844,1374
BATADAL,SKAB,DEEP,CNN,0.63240502413108,0.012106426068654875,0.618840247536099,0.645419777818248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4206.6,879.2305158489439,3370,5491
BATADAL,SKAB,DEEP,GRU,0.6236888260546938,0.01751106365760528,0.5977053360043708,0.644807121661721,0.18035714285714283,0.34504304835109995,0.0,0.7916666666666666,0.0068213867815064225,0.009441807071592333,0.0,0.019003595274781716,0.012410935333602569,0.01702261515934401,0.0,0.032413491020586944,4206.6,879.2305158489439,3370,5491
BATADAL,SKAB,DEEP,LSTM,0.63240502413108,0.012106426068654875,0.618840247536099,0.645419777818248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4206.6,879.2305158489439,3370,5491
SKAB,BATADAL,AUTOMATA,AUTOMATA,0.1407766990291262,0.0,0.1407766990291262,0.1407766990291262,0.13658536585365855,0.0,0.13658536585365855,0.13658536585365855,1.0,0.0,1.0,1.0,0.240343347639485,0.0,0.24034334763948498,0.24034334763948498,206.0,0.0,206,206
SKAB,BATADAL,DEEP,CNN,0.5627283800243605,0.10567040595607702,0.44945188794153473,0.6991473812423873,0.2017948053718827,0.03210498813157781,0.17115384615384616,0.2490842490842491,0.7254545454545455,0.08191912964413679,0.6181818181818182,0.8090909090909091,0.3125446787247148,0.029864903010017933,0.28253968253968254,0.35509138381201044,821.0,0.0,821,821
SKAB,BATADAL,DEEP,GRU,0.6638246041412911,0.14852187437613007,0.43118148599269185,0.7929354445797807,0.22394292143086741,0.04299594199193544,0.17486338797814208,0.2857142857142857,0.5254545454545454,0.23180926899087242,0.2727272727272727,0.8727272727272727,0.29449734338830474,0.02264076696825613,0.25862068965517243,0.32,821.0,0.0,821,821
SKAB,BATADAL,DEEP,LSTM,0.7066991473812424,0.036615838510333225,0.6528623629719854,0.7490864799025578,0.22183225782362123,0.012673650190863068,0.20735785953177258,0.2391304347826087,0.4672727272727273,0.06152336114795863,0.4,0.5636363636363636,0.29907720490215006,0.0031480696733069834,0.2958579881656805,0.30317848410757947,821.0,0.0,821,821
